Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
1039;Call of Duty: Modern Warfare 3;PC;2011;Shooter;Activision;41;98;0;33;172
1048;Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS;DS;2006;Misc;Nintendo;0;0;171;0;171
1043;Game Party 3;Wii;2009;Puzzle;Warner Bros. Interactive Entertainment;143;16;0;12;171
1046;Ace Combat 5: The Unsung War;PS2;2004;Simulation;Sony Computer Entertainment Europe;88;34;32;18;171
1049;Tetris Worlds;GBA;2001;Puzzle;THQ;125;39;0;6;171
1045;Deal or No Deal;DS;2007;Misc;Mindscape;115;41;0;15;171
1047;Need for Speed Underground;XB;2003;Racing;Electronic Arts;109;55;0;7;171
1044;Toy Story 2: Buzz Lightyear to the Rescue!;PS;1998;Platform;Activision;99;64;0;8;171
1042;The Sims 3: Late Night Expansion Pack;PC;2010;Simulation;Electronic Arts;59;87;0;25;171
1050;Cabela's Big Game Hunter 2010;Wii;2009;Sports;Activision Value;158;0;0;12;17
1056;Super Puyo Puyo;SNES;1993;Puzzle;Banpresto;0;0;169;1;17
1058;NCAA Football 07;PS2;2006;Sports;Electronic Arts;141;5;0;23;17
1055;Kirby's Return to Dreamland;Wii;2011;Platform;Nintendo;62;21;79;8;17
1052;FIFA Soccer 10;PS2;2009;Sports;Electronic Arts;23;24;0;123;17
1053;We Ski;Wii;2008;Sports;Namco Bandai Games;99;42;14;15;17
1057;Ben 10: Protector of Earth;DS;2007;Action;D3Publisher;69;83;0;19;17
1051;The Crew;PS4;2014;Racing;Ubisoft;34;108;3;26;17
1054;Personal Trainer: Math;DS;2007;Puzzle;Nintendo;49;112;0;9;17
1070;Dragon Ball Z: The Legacy of Goku;GBA;2002;Role-Playing;Infogrames;152;12;0;5;169
1060;NBA 2K15;XOne;2014;Sports;Take-Two Interactive;136;18;0;15;169
1066;WCW vs. nWo: World Tour;N64;1997;Fighting;THQ;137;28;3;2;169
1059;SOCOM 3: U.S. Navy SEALs;PS2;2005;Shooter;Sony Computer Entertainment;122;34;4;1;169
1072;Resident Evil 4;GC;2005;Action;Capcom;98;42;22;6;169
1064;Dragon Age: Origins;PS3;2009;Role-Playing;Electronic Arts;96;44;8;22;169
1067;WCW/NWO Thunder;PS;1998;Fighting;THQ;11;48;4;7;169
1071;Sid Meier's Civilization V;PC;2010;Strategy;Take-Two Interactive;98;52;0;19;169
1073;Call of Duty Black Ops: Declassified;PSV;2012;Action;Activision;8;52;7;3;169
1062;Saints Row IV;X360;2013;Action;Deep Silver;101;53;1;14;169
1061;Saints Row 2;PS3;2008;Action;THQ;88;54;2;25;169
1063;Jampack Winter '99;PS;1999;Misc;Sony Computer Entertainment;94;64;0;11;169
1068;Harry Potter and the Sorcerer's Stone;GBA;2001;Action;Electronic Arts;87;66;8;8;169
1069;Need For Speed: Undercover;X360;2008;Racing;Electronic Arts;79;71;1;18;169
1065;FIFA 16;X360;2015;Sports;Electronic Arts;55;101;0;13;169
1080;The Sims: Superstar;PC;2003;Simulation;Electronic Arts;167;0;0;0;168
1076;NFL GameDay 98;PS;1997;Sports;Sony Computer Entertainment;158;6;0;4;168
1078;Yoshi's Cookie;GB;1992;Puzzle;Nintendo;59;24;82;3;168
1083;Metroid Fusion;GBA;2002;Action;Nintendo;118;27;17;6;168
1081;Star Wars The Clone Wars: Lightsaber Duels;Wii;2008;Action;LucasArts;123;3;0;14;168
1074;Star Wars Battlefront: Renegade Squadron;PSP;2007;Shooter;LucasArts;9;47;0;32;168
1082;MySims;Wii;2007;Simulation;Electronic Arts;91;55;4;17;168
1075;World Championship Poker: Featuring Howard Lederer - All In;PS2;2006;Misc;Oxygen Interactive;82;64;0;22;168
1077;LEGO Batman 2: DC Super Heroes;X360;2012;Action;Warner Bros. Interactive Entertainment;9;64;0;15;168
1079;Time Crisis;PS;1997;Shooter;Namco Bandai Games;38;87;33;1;168
1087;Madden NFL 2001;PS;2000;Sports;Electronic Arts;158;5;0;4;167
1097;NCAA Football 2004;PS2;2003;Sports;Electronic Arts;135;9;0;23;167
1091;Disney's DuckTales;NES;1989;Platform;Capcom;91;3;42;4;167
1096;Spy Hunter;PS2;2001;Racing;Midway Games;113;32;0;22;167
1090;Star Wars: Battlefront II;XB;2005;Shooter;Activision;122;39;0;6;167
1098;SpongeBob SquarePants: Battle for Bikini Bottom;PS2;2003;Platform;THQ;108;45;0;14;167
1092;Tony Hawk's Pro Skater 3;PS;2001;Sports;Activision;109;49;2;7;167
1085;SSX 3;PS2;2003;Sports;Electronic Arts;93;52;0;22;167
1084;Shaun White Snowboarding: Road Trip;Wii;2008;Sports;Ubisoft;94;57;0;17;167
1088;Fight Night Round 3;PS3;2006;Fighting;Electronic Arts;81;59;1;26;167
1095;PGR: Project Gotham Racing 2;XB;2003;Racing;Microsoft Game Studios;97;59;4;7;167
1094;StarCraft II: Heart of the Swarm;PC;2013;Strategy;Activision;82;65;0;19;167
1089;Knack;PS4;2013;Platform;Sony Computer Entertainment Europe;43;67;42;15;167
1086;Big Beach Sports;Wii;2008;Sports;THQ;45;102;0;2;167
1107;Dragon Ball Z: Budokai Tenkaichi;PS2;2005;Fighting;Atari;96;12;54;4;166
1106;NBA Live 2003;PS2;2002;Sports;Electronic Arts;125;15;3;22;166
1101;Street Fighter II': Special Champion Edition;GEN;1992;Fighting;Sega;1;3;31;4;166
1102;SSX;PS2;2000;Sports;Electronic Arts;78;61;6;2;166
1104;NBA Ballers;PS2;2004;Sports;Midway Games;81;63;0;21;166
1103;Max Payne 3;X360;2012;Shooter;Take-Two Interactive;86;64;1;14;166
1099;Dying Light;PS4;2015;Action;Warner Bros. Interactive Entertainment;63;66;11;26;166
1105;Need for Speed Carbon;X360;2006;Racing;Electronic Arts;76;7;2;18;166
1100;Heavenly Sword;PS3;2007;Action;Sony Computer Entertainment;57;73;6;3;166
1112;Dragon Quest V: Tenkuu no Hanayome;PS2;2004;Role-Playing;Enix Corporation;0;0;165;0;165
1108;Ms. Pac-Man;2600;1981;Puzzle;Atari;154;1;0;2;165
1109;Mario Party 6;GC;2004;Misc;Nintendo;9;11;6;5;165
1110;Super Scope 6;SNES;1991;Shooter;Nintendo;106;38;15;5;165
1113;Army of Two;X360;2008;Shooter;Electronic Arts;109;38;2;16;165
1111;Go Vacation;Wii;2011;Misc;Namco Bandai Games;48;68;33;16;165
1114;Dragon Quest IV: Chapters of the Chosen;DS;2007;Role-Playing;Square Enix;32;2;127;3;164
1115;Kirby & the Amazing Mirror;GBA;2004;Platform;Nintendo;8;5;76;3;164
1117;Dig Dug;2600;1982;Puzzle;Atari;152;1;0;2;164
1121;NBA Live 06 (All region sales);PS2;2005;Sports;Electronic Arts;144;15;0;5;164
1119;Ghosts 'n Goblins;NES;1986;Action;Capcom;74;26;61;3;164
1123;Kinectimals;X360;2010;Simulation;Microsoft Game Studios;102;48;0;14;164
1118;Tom Clancy's Rainbow Six;PS;1999;Shooter;Red Storm Entertainment;93;63;0;8;164
1120;Tiger Woods PGA Tour 2003;PS2;2002;Sports;Electronic Arts;8;63;0;21;164
1116;LEGO Pirates of the Caribbean: The Video Game;Wii;2011;Action;Disney Interactive Studios;76;72;0;16;164
1122;Prince of Persia: Warrior Within;PS2;2004;Action;Ubisoft;54;88;0;22;164
1124;Until Dawn;PS4;2015;Adventure;Sony Computer Entertainment Europe;44;89;5;25;164
1125;ESPN NFL 2K5;XB;2004;Sports;Sega;154;2;0;7;163
1132;NBA 2K15;X360;2014;Sports;Take-Two Interactive;133;14;0;15;163
1127;Pikmin;GC;2001;Strategy;Nintendo;78;25;56;4;163
1130;Tiger Woods PGA Tour 2004;PS2;2003;Sports;Electronic Arts;118;34;0;1;163
1131;Ape Escape;PS;1999;Platform;Sony Computer Entertainment;71;48;32;11;163
1129;Sonic Generations;PS3;2011;Platform;Sega;6;73;2;28;163
1126;Viva Pinata;X360;2006;Simulation;Microsoft Game Studios;45;96;2;2;163
1138;Mario Hoops 3 on 3;DS;2006;Sports;Nintendo;99;4;49;1;162
1133;NCAA Football 2005;PS2;2004;Sports;Electronic Arts;132;9;0;22;162
1139;Kirby Air Ride;GC;2003;Racing;Nintendo;101;11;45;4;162
1137;Rage;X360;2011;Shooter;Bethesda Softworks;82;61;3;15;162
1140;Sled Storm;PS;1998;Racing;Electronic Arts;9;61;0;11;162
1136;Tony Hawk's American Wasteland (Old all region sales);PS2;2005;Sports;Activision;8;63;1;19;162
1134;Just Cause 2;X360;2010;Action;Square Enix;59;85;2;17;162
1145;Yu-Gi-Oh! Duel Monsters;GB;1998;Strategy;Konami Digital Entertainment;0;0;161;1;161
1148;SpongeBob's Atlantis SquarePantis;DS;2007;Action;THQ;15;0;0;11;161
1128;Call of Duty: Black Ops;PC;N/A;Shooter;Activision;58;81;0;24;163
1144;Baseball;GB;1989;Sports;Nintendo;66;27;65;3;161
1141;Pokemon Battle Revolution;Wii;2006;Role-Playing;Nintendo;8;38;3;13;161
1146;Super Mario Strikers;GC;2005;Sports;Nintendo;98;38;2;4;161
1143;Gears of War: Judgment;X360;2013;Shooter;Microsoft Game Studios;92;53;3;13;161
1142;NFL Street 2;PS2;2004;Sports;Electronic Arts;79;62;0;21;161
1149;Far Cry 4;XOne;2014;Shooter;Ubisoft;79;68;1;13;161
1135;Rock Band;PS3;N/A;Misc;Electronic Arts;99;41;0;22;162
1147;Buzz! The Music Quiz;PS2;2005;Misc;Sony Computer Entertainment;0;118;0;43;161
1157;Dragon Quest V: Hand of the Heavenly Bride;DS;2008;Role-Playing;Square Enix;19;2;136;2;16
1155;River Raid;2600;1981;Shooter;Activision;149;9;0;2;16
1152;Dollar Dash;PS2;2005;Action;Take-Two Interactive;13;23;0;7;16
1159;Sonic Heroes;GC;2003;Platform;Sega;105;44;6;4;16
1150;Dance Dance Revolution: Hottest Party 2;Wii;2008;Simulation;Konami Digital Entertainment;95;48;1;15;16
1156;Silent Hill;PS;1999;Action;Konami Digital Entertainment;71;48;3;1;16
1153;Far Cry 2;X360;2008;Action;Ubisoft;71;69;2;18;16
1158;No Man's Sky;PS4;2016;Action;Hello Games;58;74;2;26;16
1154;F-1 World Grand Prix;N64;1998;Racing;Video System;46;96;9;8;16
1151;Moshi Monsters: Moshling Zoo;DS;2011;Misc;Activision;4;99;0;22;16
1165;Mario Bros.;2600;1982;Platform;Atari;148;9;0;2;159
1160;ESPN NBA 2K5;PS2;2004;Sports;Global Star;126;12;0;21;159
1162;The Legend of Zelda: Twilight Princess;GC;2006;Action;Nintendo;115;36;4;4;159
1163;Soul Edge;PS;1996;Fighting;Sony Computer Entertainment;61;41;46;1;159
1167;SoulCalibur IV;X360;2008;Fighting;Ubisoft;92;44;7;15;159
1164;Devil May Cry 4;PS3;2008;Action;Capcom;58;46;34;21;159
1168;LEGO Harry Potter: Years 1-4;X360;2010;Action;Warner Bros. Interactive Entertainment;95;5;0;14;159
1169;NASCAR 2000;PS;1999;Racing;Electronic Arts;88;6;0;1;159
1166;Pro Evolution Soccer 2008;PS3;2007;Sports;Konami Digital Entertainment;4;11;32;13;159
1161;Diablo;PC;1996;Role-Playing;Activision;1;158;0;0;159
1178;Kingdom Hearts 3D: Dream Drop Distance;3DS;2012;Action;Square Enix;88;26;34;9;158
1179;Hannah Montana: Music Jam;DS;2007;Action;Disney Interactive Studios;106;37;0;15;158
1180;Pokemon Mystery Dungeon: Explorers of Sky;DS;2009;Role-Playing;Nintendo;58;44;44;12;158
1176;Guitar Hero 5;Wii;2009;Misc;Activision;94;49;0;15;158
1171;Carnival Games: Mini Golf;Wii;2008;Sports;Take-Two Interactive;87;56;0;15;158
1172;Guitar Hero: On Tour Decades;DS;2008;Misc;Activision;85;58;0;16;158
1173;MySims Kingdom;DS;2008;Simulation;Electronic Arts;81;6;1;17;158
1174;Jampack Summer 2K;PS;2000;Misc;Sony Computer Entertainment;88;6;0;1;158
1181;Spyro 2: Season of Flame;GBA;2002;Platform;Vivendi Games;85;65;0;8;158
1177;High School Musical 3: Senior Year;DS;2008;Misc;Disney Interactive Studios;64;76;0;17;158
1170;Wolfenstein: The New Order;PS4;2014;Shooter;Bethesda Softworks;47;8;3;29;158
1175;Need for Speed: Most Wanted;X360;2012;Racing;Electronic Arts;62;8;1;15;158
1185;Mario Party 7;GC;2005;Misc;Nintendo;95;11;46;4;157
1182;Pro Evolution Soccer 2010;PS2;2009;Sports;Konami Digital Entertainment;1;18;12;116;157
1184;Conflict: Desert Storm;PS2;2002;Shooter;Gotham Games;98;53;0;6;157
1183;NCAA Football 2002;PS2;2001;Sports;Electronic Arts;77;6;0;2;157
1193;Dragon Quest Monsters 2;GB;2001;Role-Playing;Enix Corporation;0;0;156;0;156
1189;Donkey Kong Classics;NES;1988;Platform;Nintendo;59;14;81;2;156
1192;Final Fight;SNES;1990;Action;Capcom;67;17;69;3;156
1190;Twisted Metal;PS;1995;Action;Sony Computer Entertainment;132;19;0;5;156
1194;Pokemon Pinball: Ruby & Sapphire;GBA;2003;Misc;Nintendo;68;38;44;5;156
1188;Fight Night Round 3;PS2;2006;Fighting;Electronic Arts;107;4;0;1;156
1191;Dark Souls III;PS4;2016;Role-Playing;Namco Bandai Games;58;44;33;21;156
1187;Smuggler's Run;PS2;2000;Racing;Take-Two Interactive;77;6;0;2;156
1186;Pro Evolution Soccer 2013;PS3;2012;Sports;Konami Digital Entertainment;18;64;49;25;156
1195;LEGO Marvel Super Heroes;PS4;2013;Action;Warner Bros. Interactive Entertainment;59;75;1;21;156
1207;Command & Conquer: Tiberian Sun;PC;1999;Strategy;Westwood Studios;155;0;0;0;155
1208;LEGO Battles: Ninjago;DS;2011;Strategy;Warner Bros. Interactive Entertainment;107;36;0;12;155
1202;007: The World is not Enough;N64;2000;Action;Electronic Arts;113;38;2;3;155
1200;Active Life: Outdoor Challenge;Wii;2008;Sports;Atari;79;44;19;14;155
1201;BioShock 2;PS3;2010;Shooter;Take-Two Interactive;85;47;2;22;155
1209;Mario Party 10;WiiU;2015;Misc;Nintendo;69;5;24;11;155
1206;Ni no Kuni: Wrath of the White Witch;PS3;2011;Role-Playing;Namco Bandai Games;6;51;21;23;155
1204;Watch Dogs;XOne;2014;Action;Ubisoft;9;53;0;13;155
1205;Star Wars: The Force Unleashed II;PS3;2010;Action;LucasArts;8;53;0;22;155
1197;Dishonored;PS3;2012;Action;Bethesda Softworks;72;54;4;25;155
1196;Mafia II;X360;2010;Action;Take-Two Interactive;84;56;0;15;155
1199;Tom Clancy's Rainbow Six 3;XB;2003;Shooter;Ubisoft;91;57;0;7;155
1198;Stuntman;PS2;2002;Racing;Atari;76;59;0;2;155
1203;Spider-Man 2: Enter: Electro;PS;2001;Action;Activision;57;87;2;9;155
1215;Tom Clancy's Ghost Recon Advanced Warfighter;X360;2006;Shooter;Ubisoft;14;2;2;1;154
1217;MVP Baseball 2005;PS2;2005;Sports;Electronic Arts;126;7;0;21;154
1212;Fire Emblem Fates;3DS;2015;Role-Playing;Nintendo;71;22;52;1;154
1210;Dead Rising 3;XOne;2013;Action;Microsoft Game Studios;106;35;1;12;154
1211;Resident Evil: The Umbrella Chronicles;Wii;2007;Action;Capcom;68;43;29;14;154
1213;Dark Cloud;PS2;2000;Role-Playing;Sony Computer Entertainment;83;44;8;19;154
1216;Disney Fairies: Tinker Bell;DS;2008;Adventure;Disney Interactive Studios;86;52;1;15;154
1218;Die Hard Trilogy;PS;1996;Shooter;Fox Interactive;85;58;0;1;154
1214;Warcraft III: The Frozen Throne;PC;2003;Strategy;Activision;58;87;0;9;154
1224;NFL GameDay 99;PS;1998;Sports;989 Studios;144;5;0;4;153
1227;Mario Golf: Toadstool Tour;GC;2003;Sports;Nintendo;109;15;25;4;153
1223;Mortal Kombat 3;SNES;1994;Fighting;Acclaim Entertainment;119;29;0;5;153
1220;Fight Night Round 4;PS3;2009;Fighting;Electronic Arts;92;41;0;21;153
1225;Call of Duty: Modern Warfare: Reflex Edition;Wii;2009;Shooter;Activision;95;43;0;14;153
1228;Tiger Woods 99 PGA Tour Golf;PS;1997;Sports;Electronic Arts;85;58;0;1;153
1221;MySims Kingdom;Wii;2008;Simulation;Electronic Arts;71;65;1;17;153
1219;Call of Duty: Black Ops II;PC;2012;Shooter;Activision;63;69;0;21;153
1222;The Simpsons Game;DS;2007;Action;Electronic Arts;57;79;0;17;153
1226;FIFA 17;XOne;2016;Sports;Electronic Arts;17;126;0;1;153
1235;F1 Race;NES;1984;Racing;Nintendo;0;0;152;0;152
1237;NASCAR 99;PS;1998;Racing;Electronic Arts;145;4;0;4;152
1234;NASCAR 98;PS;1996;Racing;Electronic Arts;143;5;0;4;152
1238;NBA Live 2000;PS;1998;Sports;Electronic Arts;143;5;0;3;152
1236;Xevious;NES;1984;Shooter;Namco Bandai Games;18;6;127;1;152
1241;Super Monkey Ball 2;GC;2002;Puzzle;Atari;111;31;6;4;152
1232;Knockout Kings;PS;1997;Fighting;Electronic Arts;107;39;0;6;152
1230;Dead Space 2;X360;2011;Shooter;Electronic Arts;94;45;0;13;152
1229;Donkey Kong Country: Tropical Freeze;WiiU;2014;Platform;Nintendo;73;52;15;12;152
1240;Call of Duty 3;PS3;2006;Shooter;Activision;6;63;3;26;152
1231;Sonic Rivals 2;PSP;2007;Racing;Sega;44;69;0;39;152
1239;Mafia II;PS3;2010;Action;Take-Two Interactive;5;72;4;26;152
1233;The Simpsons Skateboarding;PS2;2002;Sports;Electronic Arts;36;9;0;27;152
1247;Puzzle & Dragons;3DS;2013;Role-Playing;GungHo;0;0;151;0;151
1251;The Simpsons Game;PS2;2007;Action;Electronic Arts;35;3;0;113;151
1242;Pac-Man World 2;PS2;2002;Action;Namco Bandai Games;126;5;0;21;151
1250;NBA Live 98;PS;1997;Sports;Electronic Arts;141;6;0;4;151
1243;Madden NFL 15;XOne;2014;Sports;Electronic Arts;13;9;0;12;151
1248;Mega Man 2;NES;1988;Action;Capcom;93;15;42;1;151
1252;Monopoly;PS;1997;Misc;Hasbro Interactive;118;27;0;5;151
1245;LEGO Star Wars III: The Clone Wars;X360;2011;Action;LucasArts;84;54;0;13;151
1244;Sonic & Sega All-Stars Racing;Wii;2010;Racing;Sega;65;71;0;15;151
1246;Football Manager 2012;PC;2011;Sports;Sega;2;116;0;34;151
1249;Simpsons Wrestling;PS;2001;Fighting;Electronic Arts;23;116;0;11;151
1264;Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki;NES;1986;Platform;Hudson Soft;0;0;15;0;15
1257;NFL Blitz;PS;1998;Sports;Midway Games;141;5;0;4;15
1260;Madden NFL 2001;PS2;2000;Sports;Electronic Arts;119;7;5;2;15
1262;Ice Climber;NES;1985;Platform;Nintendo;46;1;92;2;15
1267;Pac-Man World;PS;1998;Action;Namco Bandai Games;121;14;1;4;15
1266;Rock Band 2;PS3;2008;Misc;MTV Games;113;2;0;16;15
1261;WWF No Mercy;N64;2000;Fighting;THQ;12;27;2;2;15
1259;Super Scribblenauts;DS;2010;Puzzle;Warner Bros. Interactive Entertainment;108;31;0;11;15
1253;SoulCalibur II;GC;2003;Fighting;Namco Bandai Games;99;32;11;8;15
1263;Sonic CD;SCD;1993;Platform;Sega;1;36;9;5;15
1256;Final Fantasy XIV: A Realm Reborn;PC;2010;Role-Playing;Square Enix;86;48;0;17;15
1255;Tokyo Xtreme Racer Zero;PS2;2000;Racing;Crave Entertainment;66;52;15;17;15
1265;Dead Rising 2;X360;2010;Action;Capcom;75;53;9;12;15
1254;Resistance 3;PS3;2011;Shooter;Sony Computer Entertainment;64;58;5;23;15
1258;Red Faction II;PS2;2002;Shooter;THQ;49;78;0;23;15
1271;Madden NFL 09;PS2;2008;Sports;Electronic Arts;122;0;0;27;149
1268;Disney Sing It: Pop Hits;Wii;2009;Misc;Disney Interactive Studios;108;28;0;13;149
1272;Drawn To Life: SpongeBob SquarePants Edition;DS;2008;Adventure;THQ;1;36;0;13;149
1273;Banjo-Tooie;N64;2000;Platform;Nintendo;82;36;25;6;149
1269;Final Fantasy: Crystal Chronicles;GC;2003;Role-Playing;Nintendo;72;38;36;4;149
1270;Medal of Honor: Frontline;XB;2002;Shooter;Electronic Arts;1;43;0;6;149
1275;007: Quantum of Solace;X360;2008;Action;Activision;82;52;1;14;149
1276;The Sims 3;Wii;2010;Simulation;Electronic Arts;61;73;0;15;149
1274;Buzz! The BIG Quiz;PS2;2006;Misc;Sony Computer Entertainment;0;11;0;39;149
1285;Fight Night 2004;PS2;2004;Fighting;Electronic Arts;108;2;0;2;148
1281;WWF WrestleMania 2000;N64;1999;Fighting;THQ;12;25;2;2;148
1282;Wario Land II;GB;1997;Platform;Nintendo;7;35;39;4;148
1279;Dirge of Cerberus: Final Fantasy VII;PS2;2006;Shooter;Square Enix;47;37;52;12;148
1283;Mass Effect 2;PS3;2011;Role-Playing;Electronic Arts;78;47;3;2;148
1280;Nintendo World Cup;NES;1990;Sports;Nintendo;28;5;65;5;148
1284;Major League Baseball 2K5;PS2;2005;Sports;Take-Two Interactive;72;56;0;19;148
1286;Tom Clancy's Splinter Cell: Pandora Tomorrow;XB;2004;Action;Ubisoft;82;59;0;7;148
1277;New Play Control! Mario Power Tennis;Wii;2009;Sports;Nintendo;37;69;28;14;148
1278;Bratz: Forever Diamondz;DS;2006;Adventure;THQ;43;88;0;18;148
1292;Fight Night Round 3;X360;2006;Fighting;Electronic Arts;133;3;1;1;147
1290;Mario Golf;N64;1999;Action;Nintendo;62;18;65;2;147
1294;Chrono Trigger;DS;2008;Role-Playing;Square Enix;69;2;49;9;147
1297;Disney Princess: Magical Jewels;DS;2007;Adventure;Disney Interactive Studios;115;2;0;12;147
1291;Disney Princess;GBA;2003;Platform;THQ;104;37;0;6;147
1293;Metal Gear Rising: Revengeance;PS3;2013;Action;Konami Digital Entertainment;45;4;44;18;147
1295;Star Wars: The Force Unleashed II;X360;2010;Action;LucasArts;95;4;0;12;147
1289;SoulCalibur IV;PS3;2008;Fighting;Ubisoft;72;41;14;2;147
1296;The House of the Dead 2 & 3 Return;Wii;2008;Shooter;Sega;78;5;3;15;147
1288;Assassin's Creed III: Liberation;PSV;2012;Action;Ubisoft;58;55;6;28;147
1298;LittleBigPlanet PS Vita;PSV;2012;Platform;Sony Computer Entertainment;4;72;2;33;147
1287;Imagine: Master Chef;DS;2007;Simulation;Ubisoft;39;92;0;17;147
1308;Donkey Kong;2600;1981;Platform;Coleco;136;8;0;2;146
1299;Xenogears;PS;1998;Role-Playing;SquareSoft;29;19;89;1;146
1314;WCW vs the World;PS;1998;Fighting;THQ;117;2;4;5;146
1310;Mario Superstar Baseball;GC;2005;Sports;Nintendo;93;24;25;4;146
1307;Super Monkey Ball;GC;2001;Puzzle;Atari;95;37;1;4;146
1300;The SpongeBob SquarePants Movie;GBA;2004;Platform;THQ;102;38;0;6;146
1301;Tom Clancy's Ghost Recon: Future Soldier;X360;2012;Shooter;Ubisoft;93;4;2;12;146
1312;LEGO Batman 2: DC Super Heroes;Wii;2012;Action;Warner Bros. Interactive Entertainment;94;4;0;11;146
1302;Battlefield: Bad Company;X360;2008;Shooter;Electronic Arts;81;46;4;15;146
1306;Homefront;X360;2011;Shooter;THQ;83;48;2;12;146
1309;Mortal Kombat 4;PS;1998;Fighting;GT Interactive;81;55;0;1;146
1303;Midway Arcade Treasures;PS2;2003;Misc;Midway Games;72;56;0;19;146
1315;SNK vs. Capcom: The Match of the Millennium;PSP;2006;Fighting;Sega;53;58;0;35;146
1311;Mass Effect 3;PS3;2012;Role-Playing;Electronic Arts;63;59;3;21;146
1313;Medal of Honor: Warfighter;PS3;2012;Action;Electronic Arts;47;65;6;28;146
1316;LEGO City Undercover;3DS;2013;Platform;Nintendo;51;75;7;12;146
1304;Wall-E;DS;2008;Platform;THQ;46;83;0;17;146
1325;Tamagotchi;GB;1996;Simulation;Namco Bandai Games;0;0;144;1;145
1326;4 Nin uchi Mahjong;NES;1984;Misc;Nintendo;0;0;145;0;145
1305;Triple Play 99;PS;N/A;Sports;N/A;81;55;0;1;146
1327;Dragon Ball Z;SNES;1993;Fighting;Namco Bandai Games;0;0;145;0;145
1328;Game de Hakken!! Tamagotchi 2;GB;1997;Simulation;Namco Bandai Games;0;0;144;1;145
1332;Tony Hawk's American Wasteland (Weekly american sales);PS2;2005;Sports;Activision;138;5;0;2;145
1331;Dragon Quest Monsters: Joker 2;DS;2010;Role-Playing;Square Enix;11;8;124;2;145
1329;Namco Museum 64;N64;1999;Misc;Namco Bandai Games;124;17;3;1;145
1330;Hasbro Family Game Night;Wii;2008;Puzzle;Electronic Arts;97;34;0;13;145
1323;Resident Evil: Outbreak;PS2;2003;Action;Capcom;54;35;46;1;145
1318;Diablo III;X360;2013;Role-Playing;Activision;89;44;0;12;145
1319;Batman: Arkham Knight;XOne;2015;Action;Warner Bros. Interactive Entertainment;86;46;0;13;145
1317;Onimusha 3: Demon Siege;PS2;2004;Action;Capcom;37;47;54;7;145
1320;BioShock;PS3;2008;Shooter;Take-Two Interactive;75;49;1;21;145
1321;Red Dead Revolver;PS2;2004;Shooter;Take-Two Interactive;71;55;0;19;145
1324;Smarty Pants;Wii;2007;Misc;Electronic Arts;53;76;0;16;145
1333;My Word Coach;DS;2007;Misc;Ubisoft;37;9;0;18;145
1322;Anno 2070;PC;2011;Strategy;Ubisoft;0;113;0;32;145
1338;Kirby Super Star;SNES;1996;Platform;Nintendo;26;7;109;2;144
1342;Rayman Raving Rabbids;Wii;2006;Misc;Ubisoft;123;7;2;11;144
1346;NCAA Football 2003;PS2;2002;Sports;Electronic Arts;116;8;0;19;144
1344;Tiger Woods PGA Tour 2005;PS2;2004;Sports;Electronic Arts;103;32;0;9;144
1340;WWE SmackDown vs Raw 2008;X360;2007;Fighting;THQ;92;38;0;13;144
1341;Kinect Joy Ride;X360;2010;Racing;Microsoft Game Studios;92;4;0;12;144
1336;Sonic Rivals;PSP;2006;Racing;Sega;73;42;0;28;144
1345;Dead Space 2;PS3;2011;Shooter;Electronic Arts;73;5;0;21;144
1334;Hello Kitty Party;DS;2007;Misc;Rising Star Games;79;53;0;13;144
1343;Need for Speed Rivals;PS3;2013;Racing;Electronic Arts;33;74;5;31;144
1337;SimCity (2013);PC;2013;Simulation;Electronic Arts;48;77;0;19;144
1339;Far Cry 4;PS3;2014;Shooter;Ubisoft;33;79;8;23;144
1335;SingStar Pop;PS2;2007;Misc;Sony Computer Entertainment;4;108;0;32;144
1353;Classic NES Series: Super Mario Bros.;GBA;2004;Platform;Nintendo;0;0;139;3;143
1352;Disney's DuckTales;GB;1988;Platform;Capcom;82;23;35;3;143
1348;Disney Infinity;X360;2013;Action;Disney Interactive Studios;96;37;0;11;143
1349;LEGO Indiana Jones 2: The Adventure Continues;Wii;2009;Action;Activision;91;39;0;13;143
1350;Sonic's Ultimate Genesis Collection;X360;2009;Misc;Sega;85;46;0;13;143
1351;Tiger Woods PGA Tour 09 All-Play;Wii;2008;Sports;Electronic Arts;81;48;0;14;143
1347;Frogger 2: Swampy's Revenge;PS;1999;Action;Hasbro Interactive;8;54;0;9;143
1354;Triple Play 2000;PS;1999;Sports;Electronic Arts;79;54;0;9;143
1363;Pro Yakyuu Family Stadium '87;NES;1987;Sports;Namco Bandai Games;12;0;13;0;142
1355;Dragon Quest VII: Warriors of Eden;3DS;2013;Role-Playing;Square Enix;7;4;13;1;142
1358;NBA Live 06 (Weekly american sales);PS2;2005;Sports;Electronic Arts;135;5;0;2;142
1360;NFL Street;PS2;2004;Sports;Electronic Arts;115;8;0;19;142
1362;Super Metroid;SNES;1994;Action;Nintendo;57;12;71;2;142
1366;Inazuma Eleven 2;DS;2009;Role-Playing;Nintendo;0;21;118;3;142
